customerNo,uniqueTranId,transactionDate,amount,description
37451955,RK4769057735,19-09-2025,3913.37,Grocery purchase
37452009,SX9355070063,18-09-2025,330.55,Medical expense
37451111,MI2273625259,19-09-2025,1244.62,Online shopping
37452043,PA5557605499,18-09-2025,587.68,Miscellaneous
37451150,HG6586530143,18-09-2025,3033.62,Utility payment
37452229,DS0338752754,18-09-2025,3538.83,Fuel recharge
37451119,BI3218889052,19-09-2025,1470.78,Grocery purchase
37451584,JZ7963265311,18-09-2025,111.87,Utility payment
37451711,PL4067817908,19-09-2025,1947.42,Online shopping
37451066,VY4571061683,19-09-2025,79.71,Restaurant bill
37451451,YB6807025151,18-09-2025,3754.8,Restaurant bill
37452045,HZ9244951196,19-09-2025,4579.41,Utility payment
37451211,DG3030665077,18-09-2025,1365.29,Subscription
37451049,GF2708157960,18-09-2025,3500.53,Medical expense
37452478,QG2646415278,18-09-2025,3156.25,Restaurant bill
37452349,LR4685794383,19-09-2025,4739.76,Grocery purchase
37452027,LF2221509151,19-09-2025,3527.94,Fuel recharge
37451544,TM9227032854,18-09-2025,4861.4,Restaurant bill
37452215,AX8014121244,19-09-2025,4569.05,Electronics
37451909,BC5883237241,19-09-2025,2341.34,Travel booking
37451856,BX7084056535,18-09-2025,4564.55,Subscription
37452046,UN1582702869,18-09-2025,3939.47,Restaurant bill
37451003,OE3533329939,19-09-2025,421.8,Electronics
37451190,TJ4170127787,18-09-2025,2991.26,Online shopping
37451573,PX7775999354,18-09-2025,827.59,Electronics
37451649,OO3530218172,19-09-2025,3774.03,Grocery purchase
37451868,OQ4915616946,18-09-2025,4450.73,Grocery purchase
37451845,CV4660926793,19-09-2025,257.9,Subscription
37451327,UN2229279876,18-09-2025,1606.52,Subscription
37452334,DZ4950376023,19-09-2025,426.94,Travel booking
37452169,NR9438242757,19-09-2025,2612.28,Subscription
37452049,BF3283094971,18-09-2025,326.1,Fuel recharge
37452105,BV5584788518,18-09-2025,1738.34,Electronics
37451727,DE0559053840,19-09-2025,529.18,Grocery purchase
37451238,LD2864315897,18-09-2025,3209.37,Subscription
37451032,ET0407120887,18-09-2025,779.65,Medical expense
37452292,VL2683500228,18-09-2025,1654.88,Subscription
37451274,BX4074811731,19-09-2025,2039.05,Fuel recharge
37451733,HQ2513739993,19-09-2025,830.31,Fuel recharge
37451962,OD3824232575,19-09-2025,771.92,Fuel recharge
37451645,RX6922016078,18-09-2025,2052.95,Utility payment
37452250,ON4628833160,18-09-2025,3996.6,Medical expense
37451862,KF0671732286,19-09-2025,266.96,Subscription
37451617,CB0340609872,18-09-2025,1596.86,Restaurant bill
37451877,MH8390114383,18-09-2025,1185.1,Medical expense
37451334,DW7016936527,19-09-2025,3674.92,Miscellaneous
37452194,HV1357129388,18-09-2025,2528.84,Grocery purchase
37451576,MD4595882244,19-09-2025,1946.36,Utility payment
37452109,JP2849138365,18-09-2025,552.28,Online shopping
37451869,BY2439306004,19-09-2025,423.6,Online shopping
37451392,WA2033345608,19-09-2025,4348.93,Medical expense
37451834,VV2597105900,18-09-2025,3990.56,Electronics
37452057,OQ7043836547,18-09-2025,995.7,Grocery purchase
37451988,OE5110584287,18-09-2025,2530.6,Miscellaneous
37452051,TT2606773246,18-09-2025,1222.83,Online shopping
37452085,EI6210557990,18-09-2025,657.18,Restaurant bill
37452352,QZ2862846544,18-09-2025,2131.9,Utility payment
37452161,MW1516524080,19-09-2025,2255.23,Utility payment
37451061,GB8544046563,19-09-2025,3946.05,Online shopping
37451473,PO2732662470,19-09-2025,4348.58,Subscription
37452301,JP6885883977,19-09-2025,4168.79,Electronics
37451620,GM5836529095,18-09-2025,4865.36,Electronics
37451041,BT2885095645,18-09-2025,3310.05,Electronics
37451665,LA2248737416,18-09-2025,4557.8,Travel booking
37451533,JG8818292351,19-09-2025,2224.68,Fuel recharge
37452361,RI5976751259,19-09-2025,3231.24,Online shopping
37451732,RQ5601745659,18-09-2025,4283.94,Subscription
37452044,SC5608303385,18-09-2025,4848.2,Medical expense
37451856,VX8193077310,19-09-2025,1600.83,Miscellaneous
37451338,SV4752604728,19-09-2025,2064.92,Grocery purchase
37451300,RQ1064770591,18-09-2025,4424.64,Grocery purchase
37452185,QD1175293817,18-09-2025,566.09,Restaurant bill
37451094,GB7450110914,18-09-2025,1256.56,Electronics
37451162,JQ9213116972,19-09-2025,2739.08,Utility payment
37451944,DZ7039075120,19-09-2025,3428.98,Miscellaneous
37451003,GV2465736904,19-09-2025,4027.34,Travel booking
37452091,VW9792132588,19-09-2025,3617.4,Subscription
37452377,LA1458827931,18-09-2025,3515.67,Online shopping
37451178,VR9036837753,18-09-2025,1469.66,Miscellaneous
37452016,SB1171194001,19-09-2025,1390.15,Subscription
37451151,MX7855287290,18-09-2025,2669.76,Travel booking
37452253,ED6741795647,19-09-2025,3677.14,Online shopping
37452035,RM1140519913,18-09-2025,3026.28,Miscellaneous
37452384,GF2100863401,19-09-2025,4631.95,Fuel recharge
37451777,CD5399015615,19-09-2025,3390.05,Electronics
37452044,YZ1703217058,18-09-2025,1092.26,Online shopping
37451529,DM9408596739,19-09-2025,969.51,Grocery purchase
37451410,XZ7407019844,18-09-2025,1901.34,Subscription
37451063,JY8654504278,19-09-2025,1184.42,Miscellaneous
37452442,FP7435797779,18-09-2025,4721.44,Restaurant bill
37451705,SD8683678211,18-09-2025,3408.09,Medical expense
37451342,CW7175309131,18-09-2025,2647.39,Medical expense
37452166,LF7982455105,19-09-2025,2672.21,Medical expense
37451531,AI4390386117,19-09-2025,4309.24,Online shopping
37451343,ZK9662481231,18-09-2025,3229.77,Restaurant bill
37451931,PW7746788428,18-09-2025,1867.73,Fuel recharge
37452139,NC3517105527,19-09-2025,29.58,Travel booking
37451060,MI7554967598,19-09-2025,3079.56,Travel booking
37451132,DZ7848778676,18-09-2025,4072.24,Subscription
37451394,QA3645242742,18-09-2025,788.26,Online shopping
37452237,IM4520067019,19-09-2025,3932.16,Utility payment
37451345,XF6510032285,18-09-2025,2359.26,Miscellaneous
37451161,UB7733200181,18-09-2025,764.93,Travel booking
37451071,UK7063951389,18-09-2025,1778.39,Travel booking
37452370,CJ5727612780,18-09-2025,3512.09,Utility payment
37452454,PS8949968539,19-09-2025,3240.46,Medical expense
37452278,FL8759847038,18-09-2025,4699.21,Fuel recharge
37452232,BU2541228039,19-09-2025,999.8,Miscellaneous
37451265,PH5956326877,18-09-2025,2998.96,Miscellaneous
37451242,MY2761232792,19-09-2025,596.52,Electronics
37452109,VQ7242316171,19-09-2025,3069.81,Subscription
37451970,JW0095149922,19-09-2025,4937.72,Grocery purchase
37451878,ZV1595834243,19-09-2025,2610.05,Online shopping
37452446,CP9515146772,19-09-2025,1793.01,Electronics
37452285,UT1522993554,19-09-2025,1610.34,Utility payment
37451143,ZL5426608929,18-09-2025,4204.33,Utility payment
37452474,DG9670425768,19-09-2025,4941.02,Restaurant bill
37452203,SV3942192731,19-09-2025,4195.04,Online shopping
37451272,BC2051974238,19-09-2025,2006.76,Miscellaneous
37451767,IY1444655753,19-09-2025,1267.59,Miscellaneous
37451191,BF0875850569,19-09-2025,3638.26,Online shopping
37451834,KL2943825568,18-09-2025,1956.2,Restaurant bill
37452437,UH1905206823,18-09-2025,4006.68,Miscellaneous
37451392,XU8483411408,18-09-2025,4778.49,Medical expense
37451233,TF2897412158,18-09-2025,3133.97,Online shopping
37452047,CM1202235420,18-09-2025,1917.18,Travel booking
37452045,VF8613006925,19-09-2025,4917.54,Miscellaneous
37451491,ZF8948840555,19-09-2025,2059.81,Grocery purchase
37451118,TM8537649702,18-09-2025,992.01,Utility payment
37451160,AH3359929040,18-09-2025,2002.24,Online shopping
37451862,GP2200899248,19-09-2025,4176.82,Restaurant bill
37451147,IF4649887316,19-09-2025,4828.43,Miscellaneous
37452411,TK8055149882,19-09-2025,622.28,Medical expense
37452417,GT0368644750,18-09-2025,4634.19,Miscellaneous
37451278,WA8554706261,19-09-2025,2782.13,Utility payment
37451006,EM5736429075,19-09-2025,2138.52,Travel booking
37451339,HI6351267386,19-09-2025,1676.9,Subscription
37451195,TC3650637646,19-09-2025,2730.55,Restaurant bill
37452371,FC1442733096,18-09-2025,4881.38,Miscellaneous
37452080,AT0384214719,19-09-2025,988.86,Utility payment
37451967,OU5120479479,18-09-2025,3672.38,Fuel recharge
37452323,UD0321798906,19-09-2025,2894.06,Fuel recharge
37451240,ZB3829058595,18-09-2025,2167.48,Restaurant bill
37451233,LE4609260916,18-09-2025,3309.25,Electronics
37452334,FS2123018648,19-09-2025,1123.04,Electronics
37452277,YJ1542054658,18-09-2025,2563.01,Miscellaneous
37452470,SU6933670927,19-09-2025,1815.45,Utility payment
37452018,JM4982473823,19-09-2025,4457.04,Subscription
37451180,WX4639568730,19-09-2025,3017.98,Online shopping
37452311,SH4395158544,19-09-2025,1290.63,Utility payment
37452387,SS2360795026,18-09-2025,4051.12,Medical expense
37451743,IG1370126223,19-09-2025,85.71,Subscription
37451058,HY0695693436,18-09-2025,689.9,Electronics
37451322,ZW6266467999,19-09-2025,2330.53,Travel booking
37451874,LM6139368925,18-09-2025,2825.24,Medical expense
37451673,FF7840085831,18-09-2025,710.87,Medical expense
37451672,ND2927247206,18-09-2025,4579.66,Fuel recharge
37451530,CA3961459498,19-09-2025,2022.51,Online shopping
37451750,BP0346670014,18-09-2025,4321.71,Travel booking
37451493,DN3260638713,18-09-2025,4735.79,Restaurant bill
37451008,UF5769286297,18-09-2025,1280.05,Fuel recharge
37451754,XL2384689449,19-09-2025,3073.92,Electronics
37451957,HX2134789735,19-09-2025,1702.54,Restaurant bill
37451160,ST3520058857,18-09-2025,299.84,Restaurant bill
37451175,LY3513991687,18-09-2025,1414.59,Restaurant bill
37451255,XD7139243556,18-09-2025,4028.85,Restaurant bill
37452486,RE5629370775,18-09-2025,3698.19,Medical expense
37452149,OD7813976837,18-09-2025,4075.79,Miscellaneous
37451697,UP4201301025,18-09-2025,2581.55,Miscellaneous
37452083,FV6733117556,18-09-2025,1412.31,Miscellaneous
37452385,UR9281126826,18-09-2025,778.0,Subscription
37452320,IC7346540250,19-09-2025,2839.08,Miscellaneous
37451948,SD9914492535,19-09-2025,2363.54,Miscellaneous
37451668,BW2772307797,19-09-2025,4041.6,Online shopping
37451225,BI1868494870,18-09-2025,4057.46,Medical expense
37451146,UI1736424114,19-09-2025,4770.31,Online shopping
37452286,ML1812174018,18-09-2025,1967.49,Restaurant bill
37452464,IH2915616437,18-09-2025,1691.62,Fuel recharge
37452115,EB2055669803,18-09-2025,4337.97,Utility payment
37451134,AQ2433208281,19-09-2025,1803.46,Fuel recharge
37451501,ZN2450561057,19-09-2025,3090.56,Subscription
37451501,ZV3124264490,18-09-2025,3899.79,Travel booking
37451021,FZ8646728796,18-09-2025,2648.61,Travel booking
37452272,DI2746012822,19-09-2025,4922.24,Medical expense
37452067,WT9598571740,18-09-2025,2298.89,Fuel recharge
37451881,PZ9326686528,18-09-2025,648.52,Online shopping
37452346,LZ4554814991,18-09-2025,3453.51,Restaurant bill
37451474,NP3126261418,18-09-2025,1060.95,Grocery purchase
37451531,NF5276439002,18-09-2025,1418.27,Grocery purchase
37452353,UZ9045582650,19-09-2025,1073.75,Fuel recharge
37451141,EI7526635338,18-09-2025,4346.57,Electronics
37451024,MG9451091833,19-09-2025,1685.74,Miscellaneous
37451178,WQ3820640927,18-09-2025,1669.13,Medical expense
37451649,ES3417534728,18-09-2025,1107.78,Travel booking
37451504,YG2293145227,18-09-2025,1366.37,Subscription
37451399,IT0047559280,19-09-2025,1170.44,Restaurant bill
37451948,OK2903872527,18-09-2025,2337.45,Fuel recharge
37452288,GH0267650692,19-09-2025,115.23,Subscription
37452303,OU6392821188,18-09-2025,4990.44,Online shopping
37452011,ZL3923560051,18-09-2025,267.19,Online shopping
37452052,LS5031943078,19-09-2025,1728.01,Fuel recharge
37451552,YJ2535987284,19-09-2025,3433.6,Travel booking
37452293,VV6549350496,18-09-2025,372.48,Miscellaneous
37451247,RY2748145495,18-09-2025,2291.42,Fuel recharge
37451723,HB6603687301,19-09-2025,54.67,Electronics
37451004,ZN2585563855,18-09-2025,58.67,Online shopping
37451320,JZ3411685673,19-09-2025,964.03,Fuel recharge
37451043,LJ8993637309,18-09-2025,2820.37,Electronics
37451221,TK3082460134,19-09-2025,29.49,Grocery purchase
37451367,JF8719609334,19-09-2025,2415.26,Restaurant bill
37452157,LG3497379615,19-09-2025,488.35,Online shopping
37452015,JB3384078867,18-09-2025,3485.0,Fuel recharge
37452136,TY7103873086,18-09-2025,4641.87,Grocery purchase
37452390,OR1197406849,19-09-2025,2600.32,Travel booking
37451725,DW2861932655,18-09-2025,1805.51,Subscription
37451542,UE8063829090,19-09-2025,3711.28,Medical expense
37451030,NG9506897596,19-09-2025,4760.15,Fuel recharge
37451505,QX4148593973,18-09-2025,4304.32,Travel booking
37451489,RP4154385629,18-09-2025,904.57,Subscription
37451736,KV2312794992,19-09-2025,442.64,Miscellaneous
37451004,VQ8266768507,19-09-2025,4214.93,Miscellaneous
37451175,XC6461300598,19-09-2025,465.37,Travel booking
37452469,ZS2628782764,18-09-2025,2359.68,Restaurant bill
37451560,GL6079237573,18-09-2025,2682.59,Miscellaneous
37451121,EP2668545757,18-09-2025,1837.85,Restaurant bill
37452113,NZ0307902114,18-09-2025,2545.31,Subscription
37451415,ZL6348977342,19-09-2025,4234.25,Online shopping
37451322,JL8785288395,18-09-2025,746.81,Electronics
37452052,UE2307552533,18-09-2025,3136.22,Grocery purchase
37452218,XY1932293281,19-09-2025,2950.85,Medical expense
37451483,WJ9451837987,19-09-2025,2809.13,Travel booking
37452196,GF4213575566,18-09-2025,215.34,Miscellaneous
37451551,BY4696573156,18-09-2025,622.14,Travel booking
37451743,VE4225937641,19-09-2025,4863.91,Restaurant bill
37451561,WP8207141065,19-09-2025,17.66,Medical expense
37451611,OC5620668646,19-09-2025,2103.16,Subscription
37452003,XO0134752904,18-09-2025,1981.75,Grocery purchase
37451513,BL8221104278,18-09-2025,4984.8,Grocery purchase
37451244,UD7299109175,19-09-2025,3222.03,Subscription
37452494,GP2143748856,18-09-2025,873.28,Fuel recharge
37451819,GD2494977673,18-09-2025,4424.43,Travel booking
37452171,MF5014271574,19-09-2025,780.5,Online shopping
37451588,SN7004207884,18-09-2025,471.76,Travel booking
37452143,IL9349632730,19-09-2025,4210.58,Subscription
37451253,PD4334471157,19-09-2025,3014.29,Electronics
37452271,VG2225075405,19-09-2025,2352.89,Electronics
37452480,CH5325881302,19-09-2025,3788.77,Grocery purchase
37452077,KV3702699322,19-09-2025,1443.6,Utility payment
37451387,IH0174446010,19-09-2025,273.96,Electronics
37452319,LP1977627425,19-09-2025,2700.97,Fuel recharge
37452285,HD3240141472,18-09-2025,4954.72,Travel booking
37451204,XS2367540912,18-09-2025,1359.91,Fuel recharge
37451749,GI9313720182,18-09-2025,2527.65,Travel booking
37452495,AH5547357834,19-09-2025,3609.07,Subscription
37451803,LV1830670480,19-09-2025,2435.36,Fuel recharge
37451380,XB6017104438,19-09-2025,3768.71,Online shopping
37451727,KQ9970312765,19-09-2025,3526.01,Travel booking
37452460,YY6741119274,19-09-2025,4241.55,Medical expense
37452082,YD4149076488,18-09-2025,4388.26,Travel booking
37451215,LI0682983070,19-09-2025,4950.16,Online shopping
37452252,YS0830231007,18-09-2025,2893.17,Miscellaneous
37451758,GC0609066066,19-09-2025,2121.38,Online shopping
37451434,OG8893120287,19-09-2025,747.7,Online shopping
37451737,BZ0147939773,19-09-2025,3264.42,Travel booking
37451252,UR4704340880,19-09-2025,1075.0,Utility payment
37451853,JR9129558974,19-09-2025,3819.18,Grocery purchase
37452178,CV7568993668,19-09-2025,3516.53,Subscription
37452487,NP5865817943,19-09-2025,4105.55,Grocery purchase
37451312,WK2790846094,19-09-2025,4456.69,Travel booking
37451050,UH3028346100,19-09-2025,4197.43,Travel booking
37451913,XQ1861619061,18-09-2025,4005.71,Subscription
37451302,CT6998780641,18-09-2025,2815.11,Grocery purchase
37452400,CJ2721846245,18-09-2025,2002.75,Utility payment
37451458,CL5632251172,18-09-2025,1650.86,Fuel recharge
37451437,ZX1037051684,18-09-2025,1844.48,Restaurant bill
37451904,BR6451983169,19-09-2025,1642.09,Electronics
37451715,OI9174809159,19-09-2025,4494.36,Grocery purchase
37452219,AS2791943377,18-09-2025,3845.56,Electronics
37452105,CL2918042025,18-09-2025,1387.73,Electronics
37451673,GD6907098079,19-09-2025,2096.31,Electronics
37451257,UE1587316632,18-09-2025,2325.57,Travel booking
37452142,ML9790389667,19-09-2025,2883.8,Miscellaneous
37451043,AA2415643667,19-09-2025,4879.93,Utility payment
37452344,OT5146508476,18-09-2025,750.46,Grocery purchase
37451615,CU5861421539,19-09-2025,2551.02,Utility payment
37451029,KY9365965362,18-09-2025,2502.11,Electronics
37451347,BJ5001952506,19-09-2025,3838.05,Subscription
37451069,UG0813979920,18-09-2025,136.47,Miscellaneous
37451270,YW2905503235,18-09-2025,3655.22,Travel booking
37451752,YZ1097683900,19-09-2025,740.39,Electronics
37451923,SC0986587881,18-09-2025,3977.87,Restaurant bill
37451359,SI2747482592,18-09-2025,2776.75,Electronics
37452227,WF4027397869,19-09-2025,1090.88,Travel booking
37451061,YV6785821714,19-09-2025,1833.29,Grocery purchase
37451689,DW9523189404,19-09-2025,4098.48,Electronics
37451210,VU6626062436,19-09-2025,188.64,Subscription
37451371,FO5029849153,19-09-2025,2548.39,Online shopping
37451823,YV4938846950,18-09-2025,1060.42,Subscription
37452465,VM4821198566,18-09-2025,1127.69,Fuel recharge
37452393,PA2723478786,18-09-2025,1588.16,Subscription
37451481,MX0890666588,19-09-2025,4664.11,Medical expense
37452324,YH4229624488,19-09-2025,4806.24,Travel booking
37452349,ZE8421712722,18-09-2025,2246.78,Miscellaneous
37451382,JK9025418073,18-09-2025,1589.57,Medical expense
37451546,DR4683473568,19-09-2025,709.6,Restaurant bill
37452422,LW0928874745,19-09-2025,2030.91,Online shopping
37451701,CI4963805291,19-09-2025,1732.67,Utility payment
37452436,LS1022269568,18-09-2025,74.41,Fuel recharge
37451330,FI0993864557,18-09-2025,1528.84,Grocery purchase
37452446,YW5640500377,18-09-2025,3103.56,Restaurant bill
37452243,OU0544697095,19-09-2025,4232.9,Grocery purchase
37451513,YI1210648355,18-09-2025,2768.94,Miscellaneous
37452042,QM1063206168,19-09-2025,4075.38,Medical expense
37451137,SC5339624775,18-09-2025,4117.55,Subscription
37451630,UP3472561777,18-09-2025,2334.34,Subscription
37452032,ZY9157005392,18-09-2025,1793.3,Medical expense
37451633,HH0708975206,19-09-2025,733.65,Travel booking
37451475,CS2797424092,19-09-2025,3195.7,Online shopping
37452169,DI6347546612,19-09-2025,2032.94,Grocery purchase
37452406,AQ7946961123,18-09-2025,4301.37,Travel booking
37452065,DW2030912178,19-09-2025,1739.13,Travel booking
37451614,LU7776307338,19-09-2025,2174.67,Fuel recharge
37452154,TZ9381398419,18-09-2025,2465.16,Medical expense
37451875,LW9635669102,18-09-2025,3434.61,Electronics
37451854,ZK3353711052,19-09-2025,4142.94,Subscription
37451826,FP1128713202,19-09-2025,643.72,Miscellaneous
37451685,KD2329926793,19-09-2025,1599.64,Grocery purchase
37452098,LC7341772941,18-09-2025,2209.48,Electronics
37451222,GO8658288639,18-09-2025,2132.58,Miscellaneous
37451903,BS7564387410,19-09-2025,2691.32,Electronics
37451099,FS6173376116,18-09-2025,529.27,Fuel recharge
37451508,IS3359089924,18-09-2025,1406.82,Online shopping
37452424,LD3066405779,19-09-2025,397.15,Online shopping
37451332,KW8628639319,19-09-2025,656.61,Fuel recharge
37451554,DV3903736443,19-09-2025,734.41,Utility payment
37451543,VR5036553758,18-09-2025,2416.85,Medical expense
37451414,ZU1640371394,18-09-2025,1796.91,Subscription
37451123,YS6701335670,19-09-2025,3780.18,Travel booking
37451463,XF2555901189,19-09-2025,3695.9,Miscellaneous
37451653,XF3400594812,18-09-2025,3310.86,Restaurant bill
37451909,TY6884843318,19-09-2025,777.34,Grocery purchase
37451726,XJ8519006941,19-09-2025,1553.79,Electronics
37451954,WU0327476697,19-09-2025,14.68,Electronics
37452437,EJ6891709393,18-09-2025,2532.08,Travel booking
37451767,XY2125873688,18-09-2025,3355.16,Utility payment
37451587,NJ5610562977,19-09-2025,3291.26,Fuel recharge
37451202,GO4959629856,18-09-2025,2670.02,Travel booking
37451963,YT3916986787,19-09-2025,4690.28,Travel booking
37451354,JP2080006985,19-09-2025,207.55,Grocery purchase
37451155,KK3362672596,18-09-2025,3463.36,Electronics
37451140,JS7119002428,18-09-2025,2538.41,Fuel recharge
37452111,NE3721012303,19-09-2025,397.25,Fuel recharge
37452295,OA9511483580,19-09-2025,4361.03,Travel booking
37451266,EY3841643636,18-09-2025,2920.8,Miscellaneous
37451365,LI4182899851,18-09-2025,2370.15,Travel booking
37451036,FS9345315640,19-09-2025,2516.99,Fuel recharge
37451014,WB4000321138,18-09-2025,2659.03,Medical expense
37452242,VL6400760768,18-09-2025,2826.25,Electronics
37451323,EK5872892377,19-09-2025,1555.71,Restaurant bill
37451732,LB0150773248,18-09-2025,3660.82,Fuel recharge
37451994,JG4044725487,19-09-2025,1461.79,Fuel recharge
37451974,RQ6829827567,18-09-2025,4925.94,Travel booking
37451136,JX8436396053,18-09-2025,739.82,Fuel recharge
37452486,XQ9522540290,18-09-2025,2010.01,Subscription
37451160,QU8615962880,19-09-2025,2134.71,Electronics
37452356,TC8911651825,19-09-2025,4565.34,Medical expense
37451380,FX6307644776,18-09-2025,4195.66,Online shopping
37451740,AM9347204663,18-09-2025,2977.4,Medical expense
37451102,YE3602362375,18-09-2025,385.78,Electronics
37451815,MG5748090421,19-09-2025,3544.45,Fuel recharge
37451867,VI7137379874,19-09-2025,4854.23,Travel booking
37452372,NV1796309663,18-09-2025,1205.74,Travel booking
37452478,YW5097357330,18-09-2025,1493.31,Online shopping
37451894,CW8381886274,18-09-2025,770.66,Medical expense
37451245,IF1414607995,18-09-2025,4404.62,Grocery purchase
37452196,YD4194654740,18-09-2025,4569.41,Fuel recharge
37452377,EP4932207835,18-09-2025,2832.72,Utility payment
37452069,KT8760168994,18-09-2025,4449.46,Miscellaneous
37452281,MI7927879188,18-09-2025,4775.6,Grocery purchase
37452337,VW2425728168,18-09-2025,1604.41,Miscellaneous
37451388,SH5448459179,18-09-2025,3294.2,Medical expense
37452447,ED6425442603,19-09-2025,1036.52,Medical expense
37452484,GX9084687113,19-09-2025,1364.43,Grocery purchase
37451812,WC1122045946,19-09-2025,16.31,Subscription
37452467,UB5284596655,19-09-2025,1003.87,Utility payment
37452348,RA3092335467,19-09-2025,254.07,Fuel recharge
37451486,SW8171685169,19-09-2025,3443.37,Medical expense
37451779,AU7075879407,19-09-2025,1951.76,Online shopping
37451211,YP1604045354,19-09-2025,3367.05,Grocery purchase
37452448,GV9154948404,18-09-2025,1507.56,Restaurant bill
37451693,QX1844927940,19-09-2025,495.02,Restaurant bill
37452394,TM8835529427,19-09-2025,1744.34,Miscellaneous
37451954,JA1028495371,18-09-2025,4671.34,Utility payment
37451338,PX5402417028,19-09-2025,1989.47,Online shopping
37451764,NF4264441328,18-09-2025,2095.49,Restaurant bill
37451842,VV2732360663,19-09-2025,3969.18,Online shopping
37452206,QC5035529626,19-09-2025,3000.58,Utility payment
37451045,ZH3208290779,18-09-2025,4609.1,Subscription
37451647,SB4832555364,19-09-2025,1758.36,Grocery purchase
37451416,MH8364461451,19-09-2025,1753.32,Online shopping
37451211,EC0558678878,18-09-2025,4007.7,Online shopping
37451977,DV7786356505,18-09-2025,31.93,Travel booking
37451750,XE2637837272,18-09-2025,3574.68,Travel booking
37451663,QH3578882606,19-09-2025,2350.41,Subscription
37451651,RV6503081383,18-09-2025,979.27,Travel booking
37451128,GP1583168716,19-09-2025,3889.3,Miscellaneous
37452028,AQ6137425017,18-09-2025,2037.83,Restaurant bill
37452007,TK4773214667,19-09-2025,552.6,Subscription
37452136,ZE0771982389,18-09-2025,3707.89,Medical expense
37451427,JH6697934018,18-09-2025,3500.52,Subscription
37452230,GX4139342120,19-09-2025,4081.9,Subscription
37451579,TX5869828628,18-09-2025,220.83,Utility payment
37451908,FW0775358272,18-09-2025,3798.7,Fuel recharge
37452203,KD3886863867,18-09-2025,4923.24,Medical expense
37451270,TA2269680084,18-09-2025,4614.33,Medical expense
37451021,OU9269567349,19-09-2025,652.54,Electronics
